Nome,Vida,Atk,Def,SpA,SpD,Vel,Mag,Per,Ene,EnR,CrD,CrC,Sinergia,Habilidades,Equipaveis,Total,Poder R1,Poder R2,Poder R3,Tipo1,%1,Tipo2,%2,Tipo3,%3,Altura,Peso,Raridade,Estagio,FF,Code,Linhagem
Rattata,40,20,15,14,12,28,20,18,20,18,10,10,2,1,1,488,136,252,346,normal,100,,,,,0.3,3.2,1,1,,29,7
Ultra Rattata,60,22,15,14,12,28,20,18,22,20,15,15,2,1,1,542,160,284,380,normal,100,sombrio,100,,,0.35,3.3,-,FF,,30,7
Raticate,85,31,18,15,16,32,22,31,40,20,15,10,2,1,1,665,229,397,505,normal,100,,,,,0.65,18.5,5,2,,31,7
Ultra Raticate,150,33,18,15,16,32,22,35,42,22,25,15,2,1,1,782,304,484,608,normal,100,sombrio,100,,,1.2,33.5,-,FF,,32,7
Spearow,42,27,15,15,15,32,18,20,25,12,10,12,5,1,1,546,168,286,376,voador,100,normal,100,,,0.3,"1,9",2,1,,33,8
Fearow,77,48,20,16,22,37,21,22,38,15,25,40,5,1,2,810,253,453,583,voador,100,normal,100,sombrio,10,1.05,38.0,7,2,,34,8
Ekans,39,28,16,16,21,25,25,15,21,21,15,10,4,1,0,546,156,282,385,venenoso,100,,,,,2.05,6.9,3,1,,35,9
Arbok,71,49,26,24,30,31,30,20,35,25,25,12,5,1,1,800,239,421,573,venenoso,100,,,,,3.55,65.0,7,2,,36,9
Pichu,20,21,11,21,11,23,14,8,18,18,5,10,3,1,0,408,130,230,294,eletrico,100,,,,,0.35,1.9,-,0,,37,10
Pikachu,50,28,16,30,22,38,20,12,28,28,6,12,5,1,1,648,192,354,470,eletrico,100,,,,,0.5,5.3,4,1,,38,10
Gigantamax Pikachu,190,35,18,34,23,15,20,12,52,28,6,12,5,1,1,818,364,534,640,eletrico,100,,,,,8,750,-,FF,,39,10
Raichu,59,36,20,36,24,40,25,14,32,28,8,15,4,1,2,743,224,403,541,eletrico,100,,,,,0.8,15.8,7,2,,40,10
Ultra Raichu,61,36,22,42,26,46,35,15,34,28,8,25,4,1,2,823,248,447,605,eletrico,100,psiquico,100,voador,10,0.75,15.8,-,FF,,41,10
Sandshrew,53,24,30,11,15,16,14,26,24,12,12,12,2,1,1,517,165,293,375,terrestre,100,,,,,0.6,11,3,1,,42,11
Ultra Sandsherew,53,26,30,11,15,16,18,36,25,15,12,12,2,1,1,560,185,323,415,terrestre,100,gelo,100,metal,80,0.65,25,-,FF,,43,11
Sandslash,68,40,44,15,20,20,15,55,38,25,23,16,2,1,2,795,278,472,598,terrestre,100,,,,,1,27.5,7,2,,44,11
Ultra Sandslash,68,45,44,15,20,20,30,73,40,30,23,16,2,1,2,890,324,532,678,terrestre,100,gelo,100,metal,80,1,52,-,FF,,45,11
Nidoran♀,50,26,21,20,21,23,24,22,29,11,10,18,1,1,1,561,160,298,422,venenoso,50,terrestre,10,,,0.4,6.5,3,1,,46,12
Nidorina,82,36,30,25,30,28,30,26,30,15,10,19,2,1,2,735,214,394,552,venenoso,80,terrestre,50,,,0.8,14,6,2,,47,12
Nidoqueen,118,49,43,27,42,34,36,32,53,18,12,20,3,1,3,978,322,564,750,venenoso,100,terrestre,100,,,1.35,58.5,9,3,,48,12
Nidoran♂,50,26,20,22,20,22,23,24,29,11,10,18,1,1,1,561,160,298,422,venenoso,50,terrestre,10,,,0.45,8,3,1,,49,13
Nidorino,86,38,25,31,25,26,28,30,30,15,10,19,2,1,2,735,224,400,552,venenoso,80,terrestre,50,,,0.75,14.5,6,2,,50,13
Nidoking,124,55,33,37,33,32,34,36,53,18,12,20,3,1,3,978,340,554,750,venenoso,100,terrestre,100,,,1.45,61,9,3,,51,13
Cleffa,48,6,11,19,21,8,21,6,24,10,5,5,4,1,0,390,138,240,288,fada,100,cosmico,100,,,0.25,2.9,-,0,,52,14
Clefairy,81,10,14,26,30,13,35,8,30,13,5,8,4,1,1,558,211,351,423,fada,100,cosmico,100,,,0.6,7.6,4,1,,53,14
Clefable,119,13,15,38,44,15,70,9,48,16,6,9,4,1,2,801,355,551,637,fada,100,cosmico,100,,,1.25,42,7,2,,54,14
Vulpix,41,18,16,21,25,25,24,13,22,14,6,13,2,1,1,509,148,275,371,fogo,100,,,,,0.6,9,3,1,,55,15
Ultra Vulpix,41,18,16,23,30,30,29,13,25,14,6,13,2,1,1,549,178,315,411,gelo,100,fada,50,,,0.6,8.8,-,FF,,56,15
Ninetales,71,28,21,34,47,46,44,15,38,18,10,16,2,1,2,803,274,489,623,fogo,100,,,,,1.1,19.9,7,2,,57,15
Ultra Ninetales,71,24,21,41,59,54,60,15,42,18,15,18,2,1,2,903,346,583,709,gelo,100,fada,100,,,1.1,19.8,-,FF,,58,15
Igglybuff,58,18,8,9,8,11,12,10,18,16,8,8,3,1,0,376,130,208,262,fada,100,sonoro,80,,,0.25,1.1,-,0,,59,16
Jigglypuff,106,26,12,13,12,20,19,17,30,18,10,10,3,1,1,568,218,332,416,fada,100,sonoro,100,,,0.55,5,4,1,,60,16
Wigglytuff,145,34,14,17,17,33,23,20,42,20,15,15,4,1,2,765,297,449,557,fada,100,sonoro,80,,,1,12,6,2,,61,16
Zubat,36,21,16,12,17,37,14,15,20,18,10,12,2,1,1,498,156,262,352,venenoso,100,voador,100,,,0.7,7.2,1,1,,62,17
Golbat,73,37,25,19,27,44,18,23,38,20,15,20,2,1,2,745,238,415,541,venenoso,100,voador,100,,,1.55,45,6,2,,63,17
Crobat,77,43,26,21,28,73,18,26,40,28,16,20,2,1,2,863,312,501,647,venenoso,100,voador,100,,,1.75,64.5,9,3,,64,17
Oddish,39,14,17,20,18,19,23,11,27,12,5,12,4,1,1,487,140,253,339,planta,100,venenoso,10,,,0.45,,2,1,,65,18
Gloom,58,18,21,27,24,22,28,12,42,16,6,15,4,1,1,616,198,344,454,planta,100,venenoso,50,,,0.75,,5,2,,66,18
Vileplume,120,20,28,42,36,24,32,15,76,26,10,16,4,1,2,896,356,548,688,planta,100,venenoso,80,,,1.2,,8,3,,67,18
Bellossom,62,24,27,48,36,30,56,14,45,28,10,16,5,2,2,888,298,492,650,planta,100,sonoro,50,fada,10,0.5,,7,3,,68,18
Paras,37,26,21,21,19,15,15,16,22,13,18,25,1,1,1,522,146,268,373,planta,100,inseto,80,,,0.3,,2,1,,69,19
Parasect,87,45,35,29,26,16,16,22,44,26,22,28,1,1,2,801,265,449,597,planta,100,inseto,80,,,1,,8,2,,70,19
Venonat,53,21,22,24,22,24,24,12,22,15,10,15,4,1,0,550,149,285,401,inseto,100,venenoso,100,,,0.7,,2,1,,71,20
Venomoth,67,25,27,36,29,34,40,12,35,18,12,16,4,1,2,753,222,415,555,inseto,100,venenoso,100,,,1.3,,6,2,,72,20
Diglett,17,30,14,16,20,40,10,15,20,19,10,10,5,1,1,534,180,290,368,terrestre,100,,,,,0.2,,2,1,,73,21
Dugtrio,48,54,20,23,30,58,14,16,31,20,10,10,5,1,3,770,286,440,552,terrestre,100,,,,,0.2,,5,2,,74,21
Ultra Dugtrio,50,58,20,23,35,60,30,18,35,25,16,10,5,1,3,865,306,486,622,terrestre,100,metal,50,,,0.65,,-,FF,,75,21
Meowth,42,24,20,14,18,33,12,24,22,22,20,15,2,1,1,572,162,292,408,normal,100,,,,,0.55,,3,1,,76,22
Ultra Meowth,42,24,20,24,18,33,12,24,22,22,20,15,2,1,1,592,162,298,420,sombrio,100,cosmico,10,,,0.55,,-,FF,,77,22
Gigantamax Meowth,186,34,24,14,18,18,12,28,32,22,20,15,2,1,1,742,318,466,578,normal,100,,,,,0.6,,-,FF,,78,22
Persian,68,35,23,18,20,48,13,32,36,26,30,20,2,1,2,776,238,430,568,normal,100,,,,,0.85,,7,2,,79,22
Ultra Persian,68,35,23,38,20,48,13,32,36,26,30,20,2,1,2,816,244,446,604,sombrio,100,cosmico,10,,,0.85,,-,FF,,80,22
Perrserker,53,37,22,15,19,38,12,32,36,30,40,25,2,1,2,775,230,426,573,metal,100,normal,50,,,0.8,,7,2,,81,22
Psyduck,50,20,23,26,31,18,25,9,27,10,6,10,2,1,2,550,168,314,410,agua,100,psiquico,50,,,0.7,,4,1,,82,23
Golduck,72,32,30,45,33,37,25,34,32,18,16,22,2,1,2,818,236,434,608,agua,100,,,,,1.65,,7,2,,83,23
Mankey,44,28,19,19,22,27,12,13,25,23,5,10,2,1,1,533,160,294,396,lutador,100,,,,,0.55,,3,1,,84,24
Primeape,77,48,30,29,34,35,15,15,40,25,8,20,2,1,2,780,253,451,599,lutador,100,,,,,1,,7,2,,85,24
Annihilape,104,58,32,32,40,40,32,18,45,25,10,21,3,1,2,925,310,534,712,lutador,100,fantasma,100,,,1.15,,10,3,,86,24
Growlithe,54,29,21,26,21,24,18,10,26,12,10,15,2,1,1,550,164,306,414,fogo,100,,,,,0.65,,4,1,,87,25
Ultra Growlithe,54,30,27,27,26,24,18,10,30,12,10,15,2,1,1,584,174,334,448,fogo,100,pedra,100,,,0.7,,-,FF,,88,25
Arcanine,125,56,36,50,36,45,22,15,55,20,15,20,2,1,2,965,347,609,765,fogo,100,,,,,1.9,,9,2,,89,25
Ultra Arcanine,125,60,48,54,46,45,22,15,60,20,15,20,2,1,2,1035,365,661,835,fogo,100,pedra,100,,,1.95,,-,FF,,90,25
Poliwag,43,25,21,21,21,36,18,14,22,18,5,10,3,1,1,553,166,293,407,agua,100,,,,,0.55,,3,1,,91,26
Poliwhirl,68,35,32,26,29,36,22,18,36,22,10,15,3,1,1,722,214,404,544,agua,100,,,,,0.95,,6,2,,92,26
Poliwrath,102,55,54,38,48,30,23,26,45,25,15,20,3,1,2,975,320,582,744,lutador,100,agua,100,,,1.5,,9,3,,93,26
Politoed,90,42,40,40,51,49,30,24,42,30,12,15,4,1,2,970,290,538,738,agua,100,,,,,1.1,,8,3,,94,26
Abra,36,10,9,34,29,26,25,16,25,20,5,8,3,1,1,540,178,318,406,psiquico,100,,,,,0.9,,3,1,,95,27
Kadabra,56,16,16,51,45,36,33,20,35,25,5,10,4,1,1,745,264,456,578,psiquico,100,,,,,1.35,,6,2,,96,27
Alakazam,65,23,20,75,50,52,44,29,50,30,10,12,5,2,2,1015,354,607,771,psiquico,100,,,,,1.55,,9,3,,97,27
Mega Alakazam,65,26,21,93,58,65,58,29,50,30,15,20,5,2,2,1155,432,713,883,psiquico,100,,,,,1.55,,-,FF,,98,27
Machop,62,25,22,15,22,18,6,12,30,12,10,15,5,1,1,538,172,296,380,lutador,100,,,,,0.85,,3,1,,99,28
Machoke,100,40,30,24,34,26,8,13,45,15,10,15,5,1,2,745,270,450,558,lutador,100,,,,,1.55,,6,2,,100,28
Machamp,132,70,45,34,51,30,12,18,55,22,12,20,5,1,2,1002,382,642,786,lutador,100,,,,,1.75,,9,3,,101,28
Gigantamax Machamp,320,75,48,34,51,15,12,18,58,22,12,20,5,1,2,1182,586,852,972,lutador,100,,,,,25,,-,FF,,102,28
Bellsprout,41,26,19,26,18,21,18,14,24,16,10,15,4,1,1,551,152,273,377,planta,100,venenoso,80,,,0.7,,2,1,,103,29
Weepinbell,78,35,24,34,22,26,23,16,36,18,12,25,4,1,1,718,220,390,528,planta,100,venenoso,100,,,0.95,,5,2,,104,29
Victreebel,96,51,29,48,28,32,32,32,42,22,16,35,4,2,2,972,294,512,698,planta,100,venenoso,100,,,1.7,,8,3,,105,29
Tentacool,43,21,20,23,36,29,20,12,18,12,8,12,3,1,1,547,176,301,401,agua,100,venenoso,100,,,0.9,,3,1,,106,30
Tentacruel,80,33,28,38,66,45,32,18,34,14,22,15,3,1,2,874,302,512,676,agua,100,venenoso,100,sombrio,10,1.6,,7,2,,107,30
Geodude,44,27,29,16,16,14,13,16,25,10,5,15,5,1,1,516,162,270,360,pedra,100,terrestre,80,,,0.4,,2,1,,108,31
Ultra Geodude,44,27,29,26,16,14,17,16,26,12,5,15,5,1,1,552,164,294,388,pedra,100,terrestre,80,eletrico,80,0.4,,-,FF,,109,31
Graveler,86,36,47,21,21,15,14,23,45,12,8,20,5,1,2,732,270,430,542,pedra,100,terrestre,80,,,1,,5,2,,110,31
Ultra Graveler,86,36,47,40,21,15,20,23,47,15,8,20,5,1,2,795,274,472,594,pedra,100,terrestre,80,eletrico,80,1,,-,FF,,111,31
Golem,112,48,70,30,29,19,16,27,60,15,10,25,5,1,2,935,372,586,728,pedra,100,terrestre,100,,,1.4,,9,3,,112,31
Ultra Golem,112,48,70,60,29,19,24,27,65,20,12,25,5,1,2,1040,390,656,808,pedra,100,terrestre,100,eletrico,100,1.4,,-,FF,,113,31
Ponyta,46,30,20,23,23,32,18,15,25,25,4,12,3,1,1,595,174,316,438,fogo,100,,,,,0.95,,3,1,,114,32
Ultra Ponyta,46,30,20,28,23,32,43,15,25,25,4,12,3,1,1,655,210,366,498,cosmico,100,psiquico,80,fada,10,0.7,,-,FF,,115,32
Rapidash,87,44,26,29,29,49,22,20,38,28,8,16,3,1,2,823,273,465,617,fogo,100,,,,,1.75,,6,2,,116,32
Ultra Rapidash,87,44,26,42,29,49,62,20,38,30,8,16,3,1,2,935,310,557,727,cosmico,100,psiquico,80,fada,10,1.7,,-,FF,,117,32
Slowpoke,88,27,27,22,22,12,20,18,25,8,10,15,1,1,1,558,196,334,440,agua,100,psiquico,50,,,1.1,,3,1,,118,33
Slowbro,96,33,46,39,35,16,30,19,35,12,12,15,1,1,2,762,266,472,602,agua,100,psiquico,100,,,1.5,,6,2,,119,33
Ultra Slowbro,96,42,48,39,35,18,30,42,35,18,20,20,1,1,2,878,276,508,678,psiquico,100,venenoso,100,,,1.55,,-,FF,,120,33
Mega Slowbro,98,34,80,46,35,16,32,19,35,12,12,15,1,1,2,852,350,558,692,agua,100,psiquico,100,,,1.8,,-,FF,,121,33
Slowking,96,33,35,39,46,16,30,19,35,12,12,15,1,1,2,762,266,472,602,psiquico,100,agua,100,,,1.9,,7,2,,122,33
Ultra Slowking,96,33,35,55,63,18,42,19,42,18,12,15,1,1,2,888,332,570,710,psiquico,100,agua,100,fantasma,50,1.8,,-,FF,,123,33
Magnemite,30,18,26,28,24,22,20,17,22,20,15,8,3,1,0,540,156,284,394,metal,100,eletrico,100,,,0.3,,2,1,,124,34
Magneton,58,23,37,39,33,30,23,20,32,25,16,8,3,1,2,745,218,400,542,metal,100,eletrico,100,,,0.9,,6,2,,125,34
Magnezone,91,28,50,55,44,33,26,22,40,26,18,10,4,2,2,941,301,535,695,metal,100,eletrico,100,,,1.2,,9,3,,126,34
Magnezone Radiante,91,32,54,59,48,37,30,26,44,28,21,13,5,2,2,1033,322,575,755,metal,100,eletrico,100,,,1.2,,-,FF,,127,34
Farfetch’d,44,30,22,22,23,23,20,20,24,24,20,20,1,1,1,614,156,292,420,normal,100,voador,100,,,0.7,,4,1,,128,35
Sirfetch’d,54,55,38,29,33,32,22,36,29,29,30,30,1,2,2,899,258,448,624,lutador,100,,,,,0.75,,9,2,,129,35
Doduo,43,29,23,20,20,28,18,25,26,20,10,12,2,1,1,585,166,305,425,normal,100,voador,100,,,1.3,,2,1,,130,36
Dodrio,65,45,30,27,27,46,20,48,38,22,10,12,2,1,2,817,278,479,631,normal,100,voador,100,,,1.7,,6,2,,131,36
Seel,50,19,22,19,26,20,23,20,25,13,8,16,2,1,1,545,152,282,398,agua,100,gelo,10,,,1,,3,1,,132,37
Dewgong,75,25,30,25,41,28,34,28,42,16,10,16,2,2,2,781,241,425,581,agua,100,gelo,100,,,1.6,,7,2,,133,37
Grimer,56,27,23,20,23,17,19,14,22,8,10,15,4,1,1,540,156,286,388,venenoso,100,,,,,0.85,,3,1,,134,38
Ultra Grimer,56,27,23,26,23,17,23,15,22,10,10,16,4,1,1,570,162,300,410,venenoso,100,sombrio,50,,,0.85,,-,FF,,135,
Muk,110,60,30,25,58,19,30,16,44,10,13,15,4,1,2,860,346,554,674,venenoso,100,,,,,1.2,,8,2,,136,38
Ultra Muk,110,60,30,45,62,25,45,16,44,14,13,16,4,1,2,964,354,622,764,venenoso,100,sombrio,100,,,1.2,,-,FF,,137,38
Shellder,32,24,34,20,16,23,17,18,19,12,6,15,2,1,0,492,162,276,374,agua,100,,,,,0.3,,2,1,,138,39
Cloyster,69,39,75,29,25,33,26,27,38,16,35,15,2,1,2,881,304,509,673,agua,100,gelo,80,sombrio,50,1.4,,8,2,,139,39
Gastly,36,20,16,31,20,29,24,17,18,18,5,10,4,1,0,530,168,284,390,fantasma,100,venenoso,80,,,0.6,,3,1,,140,40
Haunter,78,26,19,44,30,39,27,20,32,20,12,12,5,1,2,770,244,422,554,fantasma,100,venenoso,80,,,1.5,,7,2,,141,40
Gengar,83,33,24,66,40,51,32,35,42,30,18,25,4,1,2,1005,318,551,741,fantasma,100,venenoso,80,,,1.5,,9,3,,142,40
Mega Gengar,84,33,32,83,52,62,34,35,42,30,20,25,4,1,2,1110,394,632,830,fantasma,100,venenoso,80,,,1.65,,-,FF,,143,40
Gigantamax Gengar,261,39,27,68,41,17,32,35,60,30,18,25,4,1,2,1175,517,747,925,fantasma,100,venenoso,80,,,17,,-,FF,,144,40
Onix,53,26,65,17,22,30,14,19,30,12,10,16,5,1,2,697,250,399,503,pedra,100,terrestre,100,,,8,,5,1,,145,41
Steelix,94,48,86,22,28,30,14,25,42,15,18,20,5,1,2,915,362,562,696,metal,100,terrestre,100,,,9.5,,9,2,,146,41
Mega Steelix,96,64,100,23,35,30,14,33,45,15,18,20,5,1,2,1015,424,650,796,metal,100,terrestre,100,,,10.8,,-,FF,,147,41
Drowzee,54,23,21,20,30,18,23,8,40,15,5,15,3,1,1,575,194,328,434,psiquico,100,,,,,1,,3,1,,148,42
Hypno,67,30,29,31,55,19,25,10,70,20,5,15,3,1,2,795,317,497,625,psiquico,100,,,,,1.6,,6,2,,149,42
Krabby,36,36,28,15,15,24,18,24,20,12,10,20,2,1,1,552,176,304,406,agua,100,,,,,0.45,,3,1,,150,43
Kingler,73,54,42,17,18,30,19,40,32,14,25,25,2,1,2,799,272,469,607,agua,100,,,,,1.2,,7,2,,151,43
Gigantamax Kingler,210,60,48,18,18,18,19,40,35,14,30,25,2,1,2,954,426,636,760,agua,100,,,,,14,,-,FF,,152,43
Voltorb,42,17,20,22,22,34,17,16,40,16,10,20,1,1,0,556,192,318,426,eletrico,100,,,,,0.5,,3,1,,153,44
Ultra Voltorb,42,17,30,22,22,34,17,16,40,16,15,25,1,1,0,596,208,346,456,eletrico,100,planta,100,,,0.5,,-,FF,,154,44
Electrode,65,19,30,36,36,56,18,18,80,22,10,20,1,1,2,847,344,541,663,eletrico,100,,,,,1.1,,6,2,,155,44
Ultra Electrode,65,19,42,36,36,56,18,18,80,22,18,25,1,1,2,897,356,565,697,eletrico,100,planta,100,,,1.1,,-,FF,,156,44
Exeggcute,38,19,26,20,22,20,22,12,25,10,10,10,2,1,1,500,146,270,370,planta,100,psiquico,80,,,0.2,,2,1,,157,45
Exeggutor,105,46,39,61,32,26,35,18,65,16,12,20,2,2,2,961,357,597,753,planta,100,psiquico,100,,,2,,8,2,,158,45
Ultra Exeggutor,107,54,38,62,32,26,35,26,65,16,15,35,2,2,2,1031,362,615,801,planta,100,psiquico,100,dragao,80,9.5,,-,FF,,159,45
Cubone,45,23,30,21,23,17,14,12,15,15,10,15,5,1,1,540,152,273,363,terrestre,100,pedra,10,,,0.45,,3,1,,160,46
Marowak,56,38,44,25,38,21,16,14,24,24,13,20,5,1,2,744,240,394,524,terrestre,100,pedra,10,,,0.9,,6,2,,161,46
Ultra Marowak,66,38,44,49,38,21,26,14,27,27,13,25,5,1,2,847,262,458,614,terrestre,100,fogo,100,pedra,10,1.3,,-,FF,,162,46
Tyrogue,38,17,17,17,17,19,2,16,18,15,4,4,4,1,0,405,112,214,310,lutador,100,,,,,0.7,,-,0,,163,47
Hitmonlee,77,41,36,22,50,25,8,23,32,18,22,17,5,1,2,793,259,445,579,lutador,100,,,,,1.5,,5,1,,164,47
Hitmonchan,69,46,26,22,50,30,8,23,34,20,22,17,5,1,2,795,261,441,575,lutador,100,,,,,1.4,,5,1,,165,47
Hitmontop,61,36,31,22,50,35,8,23,36,22,22,17,5,1,2,797,244,437,571,lutador,100,,,,,1.3,,5,1,,166,47
Lickitung,100,27,42,28,42,24,34,29,29,20,2,3,2,1,2,760,268,452,610,normal,100,,,,,1.15,,5,1,,167,48
Lickilicky,130,28,46,29,46,24,35,30,32,20,15,15,2,1,2,870,314,508,670,normal,100,fada,10,,,1.65,,7,2,,168,48
Koffing,42,24,28,23,20,18,20,12,30,15,5,10,4,1,1,547,164,292,398,venenoso,100,,,,,0.6,,3,1,,169,49
Weezing,80,38,45,37,31,27,28,18,42,18,10,16,4,1,2,818,254,466,612,venenoso,100,,,,,1.2,,8,2,,170,49
Ultra Weezing,80,38,45,39,43,27,51,18,50,30,8,16,4,1,2,940,292,536,726,venenoso,100,fada,100,,,3,,-,FF,,171,49
Rhyhorn,64,31,34,15,15,12,10,24,30,14,6,12,3,1,1,554,194,332,414,terrestre,100,pedra,50,,,1.05,,4,1,,172,50
Rhydon,107,60,56,22,22,16,15,35,48,20,10,20,3,1,2,865,339,549,673,terrestre,100,pedra,100,,,1.85,,8,2,,173,50
Rhyperior,129,77,69,25,25,19,17,36,50,20,10,20,3,1,3,995,421,643,773,pedra,100,terrestre,100,,,2.3,,10,3,,174,50
Happiny,90,2,2,5,24,26,26,3,24,10,4,4,1,1,0,390,194,310,336,normal,100,,,,,0.55,,-,0,,175,51
Chansey,180,5,5,15,47,32,39,10,49,15,9,9,2,1,2,745,372,544,612,normal,100,,,,,1.1,,5,1,,176,51
Blissey,200,9,9,37,57,32,50,12,52,20,16,16,3,1,2,930,418,656,760,normal,100,,,,,1.3,,8,2,,177,51
Blissey Radiante,200,13,13,41,61,36,54,16,56,22,19,19,4,1,2,1022,434,696,816,normal,100,,,,,1.3,,-,FF,,178,51
Tangela,58,25,45,38,22,28,25,17,28,20,6,12,3,1,1,680,224,386,520,planta,100,,,,,0.8,,3,1,,179,52
Tangrowth,121,47,55,50,28,28,32,20,45,20,10,12,3,1,2,925,331,579,731,planta,100,,,,,2,,7,2,,180,52
Kangaskhan,109,46,39,22,39,42,8,24,45,20,6,12,4,1,2,835,291,531,663,normal,100,terrestre,10,,,2.1,,6,1,,181,53
Mega Kangaskhan,109,58,42,26,42,44,8,26,50,22,8,12,4,1,2,907,325,581,729,normal,100,terrestre,10,,,2.15,,-,FF,,182,53
Horsea,35,22,27,27,17,26,22,22,22,15,10,10,3,1,0,540,160,292,405,agua,100,,,,,0.4,,2,1,,183,54
Seadra,55,30,41,41,23,35,30,38,31,16,10,15,3,1,2,781,240,432,593,agua,100,dragao,10,,,1,,6,2,,184,54
Kingdra,75,43,43,43,43,36,38,38,38,16,16,16,3,2,2,941,258,496,719,agua,100,dragao,100,,,1.8,,9,3,,185,54
Goldeen,47,26,24,18,24,25,28,23,22,14,5,10,4,1,1,579,158,301,427,agua,100,,,,,0.6,,3,1,,186,55
Seaking,67,37,29,29,34,30,42,34,35,18,6,10,4,1,2,793,228,431,607,agua,100,,,,,1.3,,5,2,,187,55
Staryu,33,22,25,28,25,31,20,20,22,15,8,10,3,1,1,570,168,306,419,agua,100,cosmico,50,psiquico,10,0.7,,2,1,,188,56
